   1               		.file	"list_runtime.c"
   2               	__SREG__ = 0x3f
 162 0098 9C91      		ld r25,X
 163 009a 1597      		sbiw r26,4+1
 164 009c 2817      		cp r18,r24
 165 009e 3907      		cpc r19,r25
 166 00a0 01F4      		brne .L15
 167               	.LBB63:
 168               	.LBB64:
 169               	.LM21:
 170 00a2 8881      		ld r24,Y
 171 00a4 9981      		ldd r25,Y+1
 172               	.LVL14:
 173               	.LBE64:
 174               	.LBE63:
 175               	.LBB65:
 176               	.LBB66:
 177 00a6 6D91      		ld r22,X+
 178 00a8 7C91      		ld r23,X
 179               	.LVL15:
 180               	.LBE66:
 181               	.LBE65:
 182               	.LM22:
 183 00aa 0097      		sbiw r24,0
 184 00ac 01F4      		brne .L20
 185 00ae 00C0      		rjmp .L16
 186               	.L22:
 187 00b0 EE81      		ldd r30,Y+6
 188 00b2 FF81      		ldd r31,Y+7
 189               	.L20:
 190               	.LM23:
 191 00b4 6E5F      		subi r22,lo8(-(2))
 192 00b6 7F4F      		sbci r23,hi8(-(2))
 193 00b8 0480      		ldd __tmp_reg__,Z+4
 194 00ba F581      		ldd r31,Z+5
 195 00bc E02D      		mov r30,__tmp_reg__
 196 00be 0296      		adiw r24,2
 197               	.LVL16:
 198 00c0 1995      		eicall
 199               	.LVL17:
 200 00c2 8823      		tst r24
 201 00c4 01F0      		breq .L15
 202               	.LBB67:
 203               	.LBB68:
 204               	.LM24:
 205 00c6 8881      		ld r24,Y
 206 00c8 9981      		ldd r25,Y+1
 207               	.LVL18:
 208               	.LBE68:
 209               	.LBE67:
 210               	.LBB69:
 211               	.LBB70:
 212 00ca F801      		movw r30,r16
 213 00cc 6081      		ld r22,Z
 214 00ce 7181      		ldd r23,Z+1
 215               	.LVL19:
 216               	.LBE70:
 217               	.LBE69:
 218               	.LM25:
 219 00d0 0097      		sbiw r24,0
 220 00d2 01F4      		brne .L22
 221               	.L16:
 222 00d4 21E0      		ldi r18,lo8(1)
 223 00d6 30E0      		ldi r19,hi8(1)
 224 00d8 00C0      		rjmp .L18
 225               	.LFE36:
 227               	.global	list_reverse_first
 229               	list_reverse_first:
 230               	.LFB38:
 231               	.LM26:
 232               	.LVL20:
 233 00da CF93      		push r28
 234 00dc DF93      		push r29
 235               	/* prologue: function */
 236               	/* frame size = 0 */
 237 00de FC01      		movw r30,r24
 238               	.LBB71:
 239               	.LBB72:
 240               	.LM27:
 241 00e0 C081      		ld r28,Z
 242 00e2 D181      		ldd r29,Z+1
 243 00e4 2097      		sbiw r28,0
 244 00e6 01F0      		breq .L28
 245               	.LVL21:
 246               	.LBB73:
 247               	.LM28:
 248 00e8 8881      		ld r24,Y
 249 00ea 9981      		ldd r25,Y+1
 250 00ec 8083      		st Z,r24
 251 00ee 9183      		std Z+1,r25
 252               	.LM29:
 253 00f0 892B      		or r24,r25
 254 00f2 01F0      		breq .L29
 255               	.L25:
 256               	.LM30:
 257 00f4 2481      		ldd r18,Z+4
 258 00f6 3581      		ldd r19,Z+5
 259 00f8 2150      		subi r18,lo8(-(-1))
 260 00fa 3040      		sbci r19,hi8(-(-1))
 261 00fc 2483      		std Z+4,r18
 262 00fe 3583      		std Z+5,r19
 263               	.LBE73:
 264               	.LBE72:
 265               	.LBE71:
 266               	.LBB76:
 267               	.LBB77:
 268               	.LM31:
 269 0100 A281      		ldd r26,Z+2
 270 0102 B381      		ldd r27,Z+3
 271 0104 1097      		sbiw r26,0
 272 0106 01F0      		breq .L26
 273               	.LM32:
 274 0108 CD93      		st X+,r28
 275 010a DC93      		st X,r29
 276               	.L26:
 277               	.LM33:
 278 010c C283      		std Z+2,r28
 279 010e D383      		std Z+3,r29
 280               	.LM34:
 281 0110 8081      		ld r24,Z
 282 0112 9181      		ldd r25,Z+1
 283 0114 892B      		or r24,r25
 284 0116 01F0      		breq .L30
 285               	.L27:
 286               	.LM35:
 287 0118 1882      		st Y,__zero_reg__
 288 011a 1982      		std Y+1,__zero_reg__
 289               	.LM36:
 290 011c 2F5F      		subi r18,lo8(-(1))
 291 011e 3F4F      		sbci r19,hi8(-(1))
 292 0120 2483      		std Z+4,r18
 293 0122 3583      		std Z+5,r19
 294               	.LVL22:
 295               	.L28:
 296               	/* epilogue start */
 297               	.LBE77:
 298               	.LBE76:
 299               	.LM37:
 300 0124 DF91      		pop r29
 301 0126 CF91      		pop r28
 302 0128 0895      		ret
 303               	.LVL23:
 304               	.L30:
 305               	.LBB79:
 306               	.LBB78:
 307               	.LM38:
 308 012a C083      		st Z,r28
 309 012c D183      		std Z+1,r29
 310 012e 00C0      		rjmp .L27
 311               	.L29:
 312               	.LBE78:
 313               	.LBE79:
 314               	.LBB80:
 315               	.LBB75:
 316               	.LBB74:
 317               	.LM39:
 318 0130 1282      		std Z+2,__zero_reg__
 319 0132 1382      		std Z+3,__zero_reg__
 320 0134 00C0      		rjmp .L25
 321               	.LBE74:
 322               	.LBE75:
 323               	.LBE80:
 324               	.LFE38:
 326               	.global	convert_meld_int_safe
 328               	convert_meld_int_safe:
 329               	.LFB40:
 330               	.LM40:
 331               	.LVL24:
 332 0136 CF92      		push r12
 333 0138 DF92      		push r13
 334 013a EF92      		push r14
 335 013c FF92      		push r15
 336 013e 0F93      		push r16
 337 0140 1F93      		push r17
 338 0142 CF93      		push r28
 339 0144 DF93      		push r29
 340               	/* prologue: function */
 341               	/* frame size = 0 */
 342 0146 6B01      		movw r12,r22
 343 0148 7C01      		movw r14,r24
 344               	.LM41:
 345 014a 1092 0000 		sts buffer.3874+19,__zero_reg__
 346               	.LM42:
 347 014e 6115      		cp r22,__zero_reg__
 348 0150 7105      		cpc r23,__zero_reg__
 349 0152 8105      		cpc r24,__zero_reg__
 350 0154 9105      		cpc r25,__zero_reg__
 351 0156 01F0      		breq .L37
 352 0158 C2E1      		ldi r28,lo8(18)
 353 015a D0E0      		ldi r29,hi8(18)
 354               	.LVL25:
 355               	.L34:
 356               	.LBB83:
 357               	.LM43:
 358 015c 8E01      		movw r16,r28
 359 015e 0050      		subi r16,lo8(-(buffer.3874))
 360 0160 1040      		sbci r17,hi8(-(buffer.3874))
 361 0162 C701      		movw r24,r14
 362 0164 B601      		movw r22,r12
 363               	.LVL26:
 364 0166 2AE0      		ldi r18,lo8(10)
 365 0168 30E0      		ldi r19,hi8(10)
 366 016a 40E0      		ldi r20,hlo8(10)
 367 016c 50E0      		ldi r21,hhi8(10)
 368 016e 0E94 0000 		call __divmodsi4
 369 0172 605D      		subi r22,lo8(-(48))
 370 0174 F801      		movw r30,r16
 371 0176 6083      		st Z,r22
 372 0178 2197      		sbiw r28,1
 373               	.LM44:
 374 017a C701      		movw r24,r14
 375 017c B601      		movw r22,r12
 376 017e 2AE0      		ldi r18,lo8(10)
 377 0180 30E0      		ldi r19,hi8(10)
 378 0182 40E0      		ldi r20,hlo8(10)
 379 0184 50E0      		ldi r21,hhi8(10)
 380 0186 0E94 0000 		call __divmodsi4
 381 018a C901      		movw r24,r18
 382 018c DA01      		movw r26,r20
 383 018e 6C01      		movw r12,r24
 384 0190 7D01      		movw r14,r26
 385               	.LBE83:
 386               	.LM45:
 387 0192 C114      		cp r12,__zero_reg__
 388 0194 D104      		cpc r13,__zero_reg__
 389 0196 E104      		cpc r14,__zero_reg__
 390 0198 F104      		cpc r15,__zero_reg__
 391 019a 01F4      		brne .L34
 392 019c 9E01      		movw r18,r28
 393 019e 2F5F      		subi r18,lo8(-(1))
 394 01a0 3F4F      		sbci r19,hi8(-(1))
 395               	.LVL27:
 396               	.L33:
 397 01a2 2050      		subi r18,lo8(-(buffer.3874))
 398 01a4 3040      		sbci r19,hi8(-(buffer.3874))
 399               	.LM46:
 400 01a6 C901      		movw r24,r18
 401               	/* epilogue start */
 402 01a8 DF91      		pop r29
 403 01aa CF91      		pop r28
 404               	.LVL28:
 405 01ac 1F91      		pop r17
 406 01ae 0F91      		pop r16
 407 01b0 FF90      		pop r15
 408 01b2 EF90      		pop r14
 409 01b4 DF90      		pop r13
 410 01b6 CF90      		pop r12
 411               	.LVL29:
 412 01b8 0895      		ret
 413               	.LVL30:
 414               	.L37:
 415               	.LM47:
 416 01ba 23E1      		ldi r18,lo8(19)
 417 01bc 30E0      		ldi r19,hi8(19)
 418 01be 00C0      		rjmp .L33
 419               	.LFE40:
 422               	equal_int_list_elem:
 423               	.LFB42:
 424               	.LM48:
 425               	.LVL31:
 426               	/* prologue: function */
 427               	/* frame size = 0 */
 428 01c0 FC01      		movw r30,r24
 429 01c2 DB01      		movw r26,r22
 430               	.LM49:
 431 01c4 60E0      		ldi r22,lo8(0)
 432               	.LVL32:
 433 01c6 2081      		ld r18,Z
 434 01c8 3181      		ldd r19,Z+1
 435 01ca 4281      		ldd r20,Z+2
 436 01cc 5381      		ldd r21,Z+3
 437 01ce 8D91      		ld r24,X+
 438 01d0 9D91      		ld r25,X+
 439 01d2 0D90      		ld __tmp_reg__,X+
 440 01d4 BC91      		ld r27,X
 441 01d6 A02D      		mov r26,__tmp_reg__
 442               	.LVL33:
 443 01d8 2817      		cp r18,r24
 444 01da 3907      		cpc r19,r25
 445 01dc 4A07      		cpc r20,r26
 446 01de 5B07      		cpc r21,r27
 447 01e0 01F0      		breq .L41
 448               	.LM50:
 449 01e2 862F      		mov r24,r22
 450               	/* epilogue start */
 451 01e4 0895      		ret
 452               	.L41:
 453               	.LM51:
 454 01e6 61E0      		ldi r22,lo8(1)
 455               	.LM52:
 456 01e8 862F      		mov r24,r22
 457 01ea 0895      		ret
 458               	.LFE42:
 461               	equal_float_list_elem:
 462               	.LFB44:
 463               	.LM53:
 464               	.LVL34:
 465 01ec 1F93      		push r17
 466               	/* prologue: function */
 467               	/* frame size = 0 */
 468 01ee FC01      		movw r30,r24
 469 01f0 DB01      		movw r26,r22
 470               	.LM54:
 471 01f2 10E0      		ldi r17,lo8(0)
 472 01f4 6081      		ld r22,Z
 473 01f6 7181      		ldd r23,Z+1
 474 01f8 8281      		ldd r24,Z+2
 475 01fa 9381      		ldd r25,Z+3
 476               	.LVL35:
 477 01fc 2D91      		ld r18,X+
 478 01fe 3D91      		ld r19,X+
 479 0200 4D91      		ld r20,X+
 480 0202 5C91      		ld r21,X
 481 0204 0E94 0000 		call __eqsf2
 482               	.LVL36:
 483 0208 8823      		tst r24
 484 020a 01F4      		brne .L43
 485 020c 11E0      		ldi r17,lo8(1)
 486               	.L43:
 487               	.LM55:
 488 020e 812F      		mov r24,r17
 489               	/* epilogue start */
 490 0210 1F91      		pop r17
 491 0212 0895      		ret
 492               	.LFE44:
 495               	print_node_list_elem:
 496               	.LFB45:
 497               	.LM56:
 498               	.LVL37:
 499               	/* prologue: function */
 500               	/* frame size = 0 */
 501               	/* epilogue start */
 502               	.LM57:
 503 0214 0895      		ret
 504               	.LFE45:
 507               	equal_node_list_elem:
 508               	.LFB46:
 509               	.LM58:
 510               	.LVL38:
 511               	/* prologue: function */
 512               	/* frame size = 0 */
 513 0216 FC01      		movw r30,r24
 514 0218 DB01      		movw r26,r22
 515               	.LM59:
 516 021a 40E0      		ldi r20,lo8(0)
 517 021c 2081      		ld r18,Z
 518 021e 3181      		ldd r19,Z+1
 519 0220 8D91      		ld r24,X+
 520 0222 9C91      		ld r25,X
 521               	.LVL39:
 522 0224 2817      		cp r18,r24
 523 0226 3907      		cpc r19,r25
 524 0228 01F0      		breq .L51
 525               	.LVL40:
 526               	.LM60:
 527 022a 842F      		mov r24,r20
 528               	/* epilogue start */
 529 022c 0895      		ret
 530               	.L51:
 531               	.LM61:
 532 022e 41E0      		ldi r20,lo8(1)
 533               	.LM62:
 534 0230 842F      		mov r24,r20
 535 0232 0895      		ret
 536               	.LFE46:
 538               	.global	list_init_descriptors
 540               	list_init_descriptors:
 541               	.LFB47:
 542               	.LM63:
 543 0234 0F93      		push r16
 544 0236 1F93      		push r17
 545               	/* prologue: function */
 546               	/* frame size = 0 */
 547               	.LM64:
 548 0238 86E0      		ldi r24,lo8(6)
 549 023a 90E0      		ldi r25,hi8(6)
 550 023c 0E94 0000 		call malloc
 551 0240 FC01      		movw r30,r24
 552 0242 8093 0000 		sts int_descriptor,r24
 553 0246 9093 0000 		sts (int_descriptor)+1,r25
 554               	.LM65:
 555 024a 04E0      		ldi r16,lo8(4)
 556 024c 10E0      		ldi r17,hi8(4)
 557 024e 0083      		st Z,r16
 558 0250 1183      		std Z+1,r17
 559               	.LM66:
 560 0252 80E0      		ldi r24,lo8(gs(print_int_list_elem))
 561 0254 90E0      		ldi r25,hi8(gs(print_int_list_elem))
 562 0256 8283      		std Z+2,r24
 563 0258 9383      		std Z+3,r25
 564               	.LM67:
 565 025a 80E0      		ldi r24,lo8(gs(equal_int_list_elem))
 566 025c 90E0      		ldi r25,hi8(gs(equal_int_list_elem))
 567 025e 8483      		std Z+4,r24
 568 0260 9583      		std Z+5,r25
 569               	.LM68:
 570 0262 86E0      		ldi r24,lo8(6)
 571 0264 90E0      		ldi r25,hi8(6)
 572 0266 0E94 0000 		call malloc
 573 026a FC01      		movw r30,r24
 574 026c 8093 0000 		sts float_descriptor,r24
 575 0270 9093 0000 		sts (float_descriptor)+1,r25
 576               	.LM69:
 577 0274 0083      		st Z,r16
 578 0276 1183      		std Z+1,r17
 579               	.LM70:
 580 0278 80E0      		ldi r24,lo8(gs(print_float_list_elem))
 581 027a 90E0      		ldi r25,hi8(gs(print_float_list_elem))
 582 027c 8283      		std Z+2,r24
 583 027e 9383      		std Z+3,r25
 584               	.LM71:
 585 0280 80E0      		ldi r24,lo8(gs(equal_float_list_elem))
 586 0282 90E0      		ldi r25,hi8(gs(equal_float_list_elem))
 587 0284 8483      		std Z+4,r24
 588 0286 9583      		std Z+5,r25
 589               	.LM72:
 590 0288 86E0      		ldi r24,lo8(6)
 591 028a 90E0      		ldi r25,hi8(6)
 592 028c 0E94 0000 		call malloc
 593 0290 FC01      		movw r30,r24
 594 0292 8093 0000 		sts node_descriptor,r24
 595 0296 9093 0000 		sts (node_descriptor)+1,r25
 596               	.LM73:
 597 029a 82E0      		ldi r24,lo8(2)
 598 029c 90E0      		ldi r25,hi8(2)
 599 029e 8083      		st Z,r24
 600 02a0 9183      		std Z+1,r25
 601               	.LM74:
 602 02a2 80E0      		ldi r24,lo8(gs(print_node_list_elem))
 603 02a4 90E0      		ldi r25,hi8(gs(print_node_list_elem))
 604 02a6 8283      		std Z+2,r24
 605 02a8 9383      		std Z+3,r25
 606               	.LM75:
 607 02aa 80E0      		ldi r24,lo8(gs(equal_node_list_elem))
 608 02ac 90E0      		ldi r25,hi8(gs(equal_node_list_elem))
 609 02ae 8483      		std Z+4,r24
 610 02b0 9583      		std Z+5,r25
 611               	/* epilogue start */
 612               	.LM76:
 613 02b2 1F91      		pop r17
 614 02b4 0F91      		pop r16
 615 02b6 0895      		ret
 616               	.LFE47:
 618               		.data
 619               	.LC0:
 620 0000 2566 00   		.string	"%f"
 621               		.text
 623               	print_float_list_elem:
 624               	.LFB43:
 625               	.LM77:
 626               	.LVL41:
 627               	/* prologue: function */
 628               	/* frame size = 0 */
 629 02b8 FC01      		movw r30,r24
 630               	.LM78:
 631 02ba 00D0      		rcall .
 632 02bc 00D0      		rcall .
 633 02be 80E0      		ldi r24,lo8(.LC0)
 634 02c0 90E0      		ldi r25,hi8(.LC0)
 635               	.LVL42:
 636 02c2 ADB7      		in r26,__SP_L__
 637 02c4 BEB7      		in r27,__SP_H__
 638 02c6 1196      		adiw r26,1
 639 02c8 8D93      		st X+,r24
 640 02ca 9C93      		st X,r25
 641 02cc 1297      		sbiw r26,1+1
 642 02ce 8081      		ld r24,Z
 643 02d0 9181      		ldd r25,Z+1
 644 02d2 A281      		ldd r26,Z+2
 645 02d4 B381      		ldd r27,Z+3
 646 02d6 EDB7      		in r30,__SP_L__
 647 02d8 FEB7      		in r31,__SP_H__
 648               	.LVL43:
 649 02da 8383      		std Z+3,r24
 650 02dc 9483      		std Z+4,r25
 651 02de A583      		std Z+5,r26
 652 02e0 B683      		std Z+6,r27
 653 02e2 0E94 0000 		call printf
 654 02e6 8DB7      		in r24,__SP_L__
 655 02e8 9EB7      		in r25,__SP_H__
 656 02ea 0696      		adiw r24,6
 657 02ec 8DBF      		out __SP_L__,r24
 658 02ee 9EBF      		out __SP_H__,r25
 659               	/* epilogue start */
 660               	.LM79:
 661 02f0 0895      		ret
 662               	.LFE43:
 664               	.global	list_int_push_tail
 666               	list_int_push_tail:
 667               	.LFB24:
 668               	.LM80:
 669               	.LVL44:
 670 02f2 EF92      		push r14
 671 02f4 FF92      		push r15
 672 02f6 0F93      		push r16
 673 02f8 1F93      		push r17
 674 02fa DF93      		push r29
 675 02fc CF93      		push r28
 676 02fe 00D0      		rcall .
 677 0300 0F92      		push __tmp_reg__
 678 0302 CDB7      		in r28,__SP_L__
 679 0304 DEB7      		in r29,__SP_H__
 680               	/* prologue: function */
 681               	/* frame size = 4 */
 682 0306 7C01      		movw r14,r24
 683 0308 4983      		std Y+1,r20
 684 030a 5A83      		std Y+2,r21
 685 030c 6B83      		std Y+3,r22
 686 030e 7C83      		std Y+4,r23
 687               	.LBB90:
 688               	.LBB91:
 689               	.LBB95:
 690               	.LM81:
 691 0310 DC01      		movw r26,r24
 692 0312 1696      		adiw r26,6
 693 0314 ED91      		ld r30,X+
 694 0316 FC91      		ld r31,X
 695 0318 1797      		sbiw r26,6+1
 696 031a 8081      		ld r24,Z
 697 031c 9181      		ldd r25,Z+1
 698               	.LVL45:
 699 031e 0296      		adiw r24,2
 700 0320 0E94 0000 		call malloc
 701               	.LVL46:
 702 0324 8C01      		movw r16,r24
 703               	.LBB96:
 704               	.LM82:
 705 0326 FC01      		movw r30,r24
 706               	.LVL47:
 707 0328 1192      		st Z+,__zero_reg__
 708 032a 1192      		st Z+,__zero_reg__
 709               	.LM83:
 710 032c D701      		movw r26,r14
 711 032e 1696      		adiw r26,6
 712 0330 8D91      		ld r24,X+
 713 0332 9C91      		ld r25,X
 714 0334 1797      		sbiw r26,6+1
 715               	.LVL48:
 716 0336 DC01      		movw r26,r24
 717 0338 4D91      		ld r20,X+
 718 033a 5C91      		ld r21,X
 719 033c CF01      		movw r24,r30
 720 033e BE01      		movw r22,r28
 721 0340 6F5F      		subi r22,lo8(-(1))
 722 0342 7F4F      		sbci r23,hi8(-(1))
 723 0344 0E94 0000 		call memcpy
 724               	.LBE96:
 725               	.LBE95:
 726               	.LBB92:
 727               	.LBB93:
 728               	.LM84:
 729 0348 D701      		movw r26,r14
 730 034a 1296      		adiw r26,2
 731 034c ED91      		ld r30,X+
 732 034e FC91      		ld r31,X
 733 0350 1397      		sbiw r26,2+1
 734 0352 3097      		sbiw r30,0
 735 0354 01F0      		breq .L58
 736               	.LM85:
 737 0356 0083      		st Z,r16
 738 0358 1183      		std Z+1,r17
 739               	.LVL49:
 740               	.L58:
 741               	.LM86:
 742 035a F701      		movw r30,r14
 743 035c 0283      		std Z+2,r16
 744 035e 1383      		std Z+3,r17
 745               	.LM87:
 746 0360 8081      		ld r24,Z
 747 0362 9181      		ldd r25,Z+1
 748 0364 892B      		or r24,r25
 749 0366 01F0      		breq .L61
 750               	.L59:
 751               	.LM88:
 752 0368 D801      		movw r26,r16
 753 036a 1D92      		st X+,__zero_reg__
 754 036c 1C92      		st X,__zero_reg__
 755               	.LM89:
 756 036e F701      		movw r30,r14
 757 0370 8481      		ldd r24,Z+4
 758 0372 9581      		ldd r25,Z+5
 759 0374 0196      		adiw r24,1
 760 0376 8483      		std Z+4,r24
 761 0378 9583      		std Z+5,r25
 762               	/* epilogue start */
 763               	.LBE93:
 764               	.LBE92:
 765               	.LBE91:
 766               	.LBE90:
 767               	.LM90:
 768 037a 2496      		adiw r28,4
 769 037c CDBF      		out __SP_L__,r28
 770 037e DEBF      		out __SP_H__,r29
 771 0380 CF91      		pop r28
 772 0382 DF91      		pop r29
 773 0384 1F91      		pop r17
 774 0386 0F91      		pop r16
 775               	.LVL50:
 776 0388 FF90      		pop r15
 777 038a EF90      		pop r14
 778               	.LVL51:
 779 038c 0895      		ret
 780               	.LVL52:
 781               	.L61:
 782               	.LBB99:
 783               	.LBB98:
 784               	.LBB97:
 785               	.LBB94:
 786               	.LM91:
 787 038e 0083      		st Z,r16
 788 0390 1183      		std Z+1,r17
 789 0392 00C0      		rjmp .L59
 790               	.LBE94:
 791               	.LBE97:
 792               	.LBE98:
 793               	.LBE99:
 794               	.LFE24:
 796               	.global	list_int_push_head
 798               	list_int_push_head:
 799               	.LFB23:
 800               	.LM92:
 801               	.LVL53:
 802 0394 CF92      		push r12
 803 0396 DF92      		push r13
 804 0398 EF92      		push r14
 805 039a FF92      		push r15
 806 039c 0F93      		push r16
 807 039e 1F93      		push r17
 808 03a0 DF93      		push r29
 809 03a2 CF93      		push r28
 810 03a4 00D0      		rcall .
 811 03a6 0F92      		push __tmp_reg__
 812 03a8 CDB7      		in r28,__SP_L__
 813 03aa DEB7      		in r29,__SP_H__
 814               	/* prologue: function */
 815               	/* frame size = 4 */
 816 03ac 7C01      		movw r14,r24
 817 03ae 4983      		std Y+1,r20
 818 03b0 5A83      		std Y+2,r21
 819 03b2 6B83      		std Y+3,r22
 820 03b4 7C83      		std Y+4,r23
 821               	.LBB104:
 822               	.LBB105:
 823               	.LM93:
 824 03b6 DC01      		movw r26,r24
 825 03b8 0D91      		ld r16,X+
 826 03ba 1C91      		ld r17,X
 827 03bc 1197      		sbiw r26,1
 828               	.LBB106:
 829               	.LM94:
 830 03be 1696      		adiw r26,6
 831 03c0 ED91      		ld r30,X+
 832 03c2 FC91      		ld r31,X
 833 03c4 1797      		sbiw r26,6+1
 834 03c6 8081      		ld r24,Z
 835 03c8 9181      		ldd r25,Z+1
 836               	.LVL54:
 837 03ca 0296      		adiw r24,2
 838 03cc 0E94 0000 		call malloc
 839               	.LVL55:
 840 03d0 D82E      		mov r13,r24
 841               	.LVL56:
 842 03d2 C92E      		mov r12,r25
 843               	.LVL57:
 844               	.LBB107:
 845               	.LM95:
 846 03d4 E82F      		mov r30,r24
 847 03d6 F92F      		mov r31,r25
 848 03d8 0193      		st Z+,r16
 849 03da 1193      		st Z+,r17
 850               	.LM96:
 851 03dc D701      		movw r26,r14
 852 03de 1696      		adiw r26,6
 853 03e0 8D91      		ld r24,X+
 854 03e2 9C91      		ld r25,X
 855 03e4 1797      		sbiw r26,6+1
 856 03e6 DC01      		movw r26,r24
 857 03e8 4D91      		ld r20,X+
 858 03ea 5C91      		ld r21,X
 859 03ec CF01      		movw r24,r30
 860 03ee BE01      		movw r22,r28
 861 03f0 6F5F      		subi r22,lo8(-(1))
 862 03f2 7F4F      		sbci r23,hi8(-(1))
 863 03f4 0E94 0000 		call memcpy
 864               	.LBE107:
 865               	.LBE106:
 866               	.LM97:
 867 03f8 F701      		movw r30,r14
 868 03fa D082      		st Z,r13
 869 03fc C182      		std Z+1,r12
 870               	.LM98:
 871 03fe 8281      		ldd r24,Z+2
 872 0400 9381      		ldd r25,Z+3
 873 0402 892B      		or r24,r25
 874 0404 01F0      		breq .L66
 875               	.L64:
 876               	.LM99:
 877 0406 D701      		movw r26,r14
 878 0408 1496      		adiw r26,4
 879 040a 8D91      		ld r24,X+
 880 040c 9C91      		ld r25,X
 881 040e 1597      		sbiw r26,4+1
 882 0410 0196      		adiw r24,1
