   1               		.file	"core.c"
   2               	__SREG__ = 0x3f
 170 0086 0190      		ld __tmp_reg__,Z+
 171 0088 F081      		ld r31,Z
 172 008a E02D      		mov r30,__tmp_reg__
 173               	.LVL17:
 174               	.LM23:
 175 008c 3097      		sbiw r30,0
 176 008e 01F0      		breq .L23
 177 0090 20E0      		ldi r18,lo8(0)
 178 0092 30E0      		ldi r19,hi8(0)
 179               	.LVL18:
 180               	.L20:
 181 0094 0190      		ld __tmp_reg__,Z+
 182 0096 F081      		ld r31,Z
 183 0098 E02D      		mov r30,__tmp_reg__
 184 009a 2F5F      		subi r18,lo8(-(1))
 185 009c 3F4F      		sbci r19,hi8(-(1))
 186 009e 3097      		sbiw r30,0
 187 00a0 01F4      		brne .L20
 188               	.L19:
 189               	.LM24:
 190 00a2 C901      		movw r24,r18
 191               	.LVL19:
 192               	/* epilogue start */
 193 00a4 0895      		ret
 194               	.LVL20:
 195               	.L23:
 196               	.LM25:
 197 00a6 20E0      		ldi r18,lo8(0)
 198 00a8 30E0      		ldi r19,hi8(0)
 199               	.LVL21:
 200 00aa 00C0      		rjmp .L19
 201               	.LFE44:
 203               		.data
 204               	.LC0:
 205 0000 5475 706C 		.string	"Tuple (%s:%d:%d) "
 205      6520 2825 
 205      733A 2564 
 205      3A25 6429 
 205      2000 
 206               	.LC1:
 207 0012 6167 6700 		.string	"agg"
 208               	.LC2:
 209 0016 7065 7200 		.string	"per"
 210               	.LC3:
 211 001a 6C69 6E65 		.string	"linear"
 211      6172 00
 212               	.LC4:
 213 0021 726F 7574 		.string	"route"
 213      6500 
 214               	.LC5:
 215 0027 7072 6F76 		.string	"proved"
 215      6564 00
 216               	.LC6:
 217 002e 5D20 00   		.string	"] "
 218               	.LC7:
 219 0031 6E75 6D5F 		.string	"num_args:%d deltas:%d off:%d ; args(offset, arg_size): "
 219      6172 6773 
 219      3A25 6420 
 219      6465 6C74 
 219      6173 3A25 
 220               	.LC8:
 221 0069 2025 643A 		.string	" %d:%d"
 221      2564 00
 222               		.text
 223               	.global	print_program_info
 225               	print_program_info:
 226               	.LFB48:
 227               	.LM26:
 228 00ac 2F92      		push r2
 229 00ae 3F92      		push r3
 230 00b0 4F92      		push r4
 231 00b2 5F92      		push r5
 232 00b4 6F92      		push r6
 233 00b6 7F92      		push r7
 234 00b8 8F92      		push r8
 235 00ba 9F92      		push r9
 236 00bc AF92      		push r10
 237 00be BF92      		push r11
 238 00c0 CF92      		push r12
 239 00c2 DF92      		push r13
 240 00c4 EF92      		push r14
 241 00c6 FF92      		push r15
 242 00c8 0F93      		push r16
 243 00ca 1F93      		push r17
 244 00cc CF93      		push r28
 245 00ce DF93      		push r29
 246               	/* prologue: function */
 247               	/* frame size = 0 */
 248               	.LM27:
 249 00d0 8091 0000 		lds r24,meld_prog
 250 00d4 482E      		mov r4,r24
 251 00d6 5524      		clr r5
 252 00d8 4114      		cp r4,__zero_reg__
 253 00da 5104      		cpc r5,__zero_reg__
 254 00dc 01F4      		brne .+2
 255 00de 00C0      		rjmp .L34
 256 00e0 CC24      		clr r12
 257 00e2 DD24      		clr r13
 258 00e4 41E0      		ldi r20,lo8(1)
 259 00e6 A42E      		mov r10,r20
 260 00e8 B12C      		mov r11,__zero_reg__
 261 00ea 30E0      		ldi r19,lo8(.LC0)
 262 00ec 232E      		mov r2,r19
 263 00ee 30E0      		ldi r19,hi8(.LC0)
 264 00f0 332E      		mov r3,r19
 265 00f2 20E0      		ldi r18,lo8(.LC8)
 266 00f4 822E      		mov r8,r18
 267 00f6 20E0      		ldi r18,hi8(.LC8)
 268 00f8 922E      		mov r9,r18
 269               	.L33:
 270 00fa 7601      		movw r14,r12
 271 00fc EE0C      		lsl r14
 272 00fe FF1C      		rol r15
 273               	.LBB199:
 274               	.LM28:
 275 0100 2DB7      		in r18,__SP_L__
 276 0102 3EB7      		in r19,__SP_H__
 277 0104 2850      		subi r18,lo8(-(-8))
 278 0106 3040      		sbci r19,hi8(-(-8))
 279 0108 2DBF      		out __SP_L__,r18
 280 010a 3EBF      		out __SP_H__,r19
 281 010c ADB7      		in r26,__SP_L__
 282 010e BEB7      		in r27,__SP_H__
 283 0110 1196      		adiw r26,1
 284 0112 CDB7      		in r28,__SP_L__
 285 0114 DEB7      		in r29,__SP_H__
 286 0116 2982      		std Y+1,r2
 287 0118 3A82      		std Y+2,r3
 288 011a F501      		movw r30,r10
 289 011c E050      		subi r30,lo8(-(tuple_names-1))
 290 011e F040      		sbci r31,hi8(-(tuple_names-1))
 291 0120 8081      		ld r24,Z
 292 0122 9181      		ldd r25,Z+1
 293 0124 1296      		adiw r26,2
 294 0126 8D93      		st X+,r24
 295 0128 9C93      		st X,r25
 296 012a 1397      		sbiw r26,2+1
 297 012c 1496      		adiw r26,4
 298 012e CD92      		st X+,r12
 299 0130 DC92      		st X,r13
 300 0132 1597      		sbiw r26,4+1
 301 0134 E091 0000 		lds r30,arguments
 302 0138 F091 0000 		lds r31,(arguments)+1
 303 013c EA0D      		add r30,r10
 304 013e FB1D      		adc r31,r11
 305 0140 8081      		ld r24,Z
 306 0142 1696      		adiw r26,6
 307 0144 8C93      		st X,r24
 308 0146 1697      		sbiw r26,6
 309 0148 1796      		adiw r26,7
 310 014a 1C92      		st X,__zero_reg__
 311 014c 0E94 0000 		call printf
 312               	.LM29:
 313 0150 EDB7      		in r30,__SP_L__
 314 0152 FEB7      		in r31,__SP_H__
 315 0154 3896      		adiw r30,8
 316 0156 EDBF      		out __SP_L__,r30
 317 0158 FEBF      		out __SP_H__,r31
 318 015a 8BE5      		ldi r24,lo8(91)
 319 015c 90E0      		ldi r25,hi8(91)
 320 015e 0E94 0000 		call putchar
 321               	.LM30:
 322 0162 0894      		sec
 323 0164 C11C      		adc r12,__zero_reg__
 324 0166 D11C      		adc r13,__zero_reg__
 325 0168 F601      		movw r30,r12
 326 016a E050      		subi r30,lo8(-(meld_prog))
 327 016c F040      		sbci r31,hi8(-(meld_prog))
 328 016e 7080      		ld r7,Z
 329 0170 C72D      		mov r28,r7
 330 0172 D0E0      		ldi r29,lo8(0)
 331 0174 8E01      		movw r16,r28
 332 0176 0050      		subi r16,lo8(-(meld_prog+2))
 333 0178 1040      		sbci r17,hi8(-(meld_prog+2))
 334 017a D801      		movw r26,r16
 335 017c 8C91      		ld r24,X
 336 017e 80FD      		sbrc r24,0
 337 0180 00C0      		rjmp .L37
 338               	.LM31:
 339 0182 81FD      		sbrc r24,1
 340 0184 00C0      		rjmp .L38
 341               	.L27:
 342               	.LM32:
 343 0186 82FD      		sbrc r24,2
 344 0188 00C0      		rjmp .L39
 345               	.L28:
 346               	.LM33:
 347 018a 85FD      		sbrc r24,5
 348 018c 00C0      		rjmp .L40
 349               	.L29:
 350               	.LM34:
 351 018e 86FD      		sbrc r24,6
 352 0190 00C0      		rjmp .L41
 353               	.L30:
 354               	.LM35:
 355 0192 0F92      		push __tmp_reg__
 356 0194 0F92      		push __tmp_reg__
 357 0196 E0E0      		ldi r30,lo8(.LC6)
 358 0198 F0E0      		ldi r31,hi8(.LC6)
 359 019a ADB7      		in r26,__SP_L__
 360 019c BEB7      		in r27,__SP_H__
 361 019e 1196      		adiw r26,1
 362 01a0 ED93      		st X+,r30
 363 01a2 FC93      		st X,r31
 364 01a4 1297      		sbiw r26,1+1
 365 01a6 0E94 0000 		call printf
 366               	.LM36:
 367 01aa 8E01      		movw r16,r28
 368 01ac 0050      		subi r16,lo8(-(meld_prog+5))
 369 01ae 1040      		sbci r17,hi8(-(meld_prog+5))
 370 01b0 00D0      		rcall .
 371 01b2 00D0      		rcall .
 372 01b4 EDB7      		in r30,__SP_L__
 373 01b6 FEB7      		in r31,__SP_H__
 374 01b8 3196      		adiw r30,1
 375 01ba 20E0      		ldi r18,lo8(.LC7)
 376 01bc 30E0      		ldi r19,hi8(.LC7)
 377 01be ADB7      		in r26,__SP_L__
 378 01c0 BEB7      		in r27,__SP_H__
 379 01c2 1196      		adiw r26,1
 380 01c4 2D93      		st X+,r18
 381 01c6 3C93      		st X,r19
 382 01c8 1297      		sbiw r26,1+1
 383 01ca D801      		movw r26,r16
 384 01cc 8C91      		ld r24,X
 385 01ce 8283      		std Z+2,r24
 386 01d0 1382      		std Z+3,__zero_reg__
 387 01d2 C050      		subi r28,lo8(-(meld_prog))
 388 01d4 D040      		sbci r29,hi8(-(meld_prog))
 389 01d6 8E81      		ldd r24,Y+6
 390 01d8 8483      		std Z+4,r24
 391 01da 1582      		std Z+5,__zero_reg__
 392 01dc 7682      		std Z+6,r7
 393 01de 1782      		std Z+7,__zero_reg__
 394 01e0 0E94 0000 		call printf
 395               	.LM37:
 396 01e4 CDB7      		in r28,__SP_L__
 397 01e6 DEB7      		in r29,__SP_H__
 398 01e8 2896      		adiw r28,8
 399 01ea CDBF      		out __SP_L__,r28
 400 01ec DEBF      		out __SP_H__,r29
 401 01ee F801      		movw r30,r16
 402 01f0 8081      		ld r24,Z
 403 01f2 8823      		tst r24
 404 01f4 01F0      		breq .L31
 405 01f6 6624      		clr r6
 406 01f8 7724      		clr r7
 407               	.L32:
 408               	.LM38:
 409 01fa 2091 0000 		lds r18,arguments
 410 01fe 3091 0000 		lds r19,(arguments)+1
 411 0202 D301      		movw r26,r6
 412 0204 AA0F      		lsl r26
 413 0206 BB1F      		rol r27
 414 0208 F901      		movw r30,r18
 415 020a EE0D      		add r30,r14
 416 020c FF1D      		adc r31,r15
 417 020e 8081      		ld r24,Z
 418 0210 A80F      		add r26,r24
 419 0212 B11D      		adc r27,__zero_reg__
 420 0214 00D0      		rcall .
 421 0216 00D0      		rcall .
 422 0218 EDB7      		in r30,__SP_L__
 423 021a FEB7      		in r31,__SP_H__
 424 021c 3196      		adiw r30,1
 425 021e CDB7      		in r28,__SP_L__
 426 0220 DEB7      		in r29,__SP_H__
 427 0222 8982      		std Y+1,r8
 428 0224 9A82      		std Y+2,r9
 429 0226 A20F      		add r26,r18
 430 0228 B31F      		adc r27,r19
 431 022a 1196      		adiw r26,1
 432 022c 8C91      		ld r24,X
 433 022e 1197      		sbiw r26,1
 434 0230 8283      		std Z+2,r24
 435 0232 1382      		std Z+3,__zero_reg__
 436 0234 8C91      		ld r24,X
 437 0236 8483      		std Z+4,r24
 438 0238 1582      		std Z+5,__zero_reg__
 439 023a 0E94 0000 		call printf
 440               	.LM39:
 441 023e 0894      		sec
 442 0240 611C      		adc r6,__zero_reg__
 443 0242 711C      		adc r7,__zero_reg__
 444 0244 F801      		movw r30,r16
 445 0246 8081      		ld r24,Z
 446 0248 90E0      		ldi r25,lo8(0)
 447 024a 2DB7      		in r18,__SP_L__
 448 024c 3EB7      		in r19,__SP_H__
 449 024e 2A5F      		subi r18,lo8(-(6))
 450 0250 3F4F      		sbci r19,hi8(-(6))
 451 0252 2DBF      		out __SP_L__,r18
 452 0254 3EBF      		out __SP_H__,r19
 453 0256 6816      		cp r6,r24
 454 0258 7906      		cpc r7,r25
 455 025a 04F0      		brlt .L32
 456               	.L31:
 457               	.LM40:
 458 025c 8AE0      		ldi r24,lo8(10)
 459 025e 90E0      		ldi r25,hi8(10)
 460 0260 0E94 0000 		call putchar
 461 0264 82E0      		ldi r24,lo8(2)
 462 0266 90E0      		ldi r25,hi8(2)
 463 0268 A80E      		add r10,r24
 464 026a B91E      		adc r11,r25
 465               	.LBE199:
 466               	.LM41:
 467 026c C414      		cp r12,r4
 468 026e D504      		cpc r13,r5
 469 0270 04F4      		brge .+2
 470 0272 00C0      		rjmp .L33
 471               	.L34:
 472               	/* epilogue start */
 473               	.LM42:
 474 0274 DF91      		pop r29
 475 0276 CF91      		pop r28
 476 0278 1F91      		pop r17
 477 027a 0F91      		pop r16
 478 027c FF90      		pop r15
 479 027e EF90      		pop r14
 480 0280 DF90      		pop r13
 481 0282 CF90      		pop r12
 482 0284 BF90      		pop r11
 483 0286 AF90      		pop r10
 484 0288 9F90      		pop r9
 485 028a 8F90      		pop r8
 486 028c 7F90      		pop r7
 487 028e 6F90      		pop r6
 488 0290 5F90      		pop r5
 489 0292 4F90      		pop r4
 490 0294 3F90      		pop r3
 491 0296 2F90      		pop r2
 492 0298 0895      		ret
 493               	.L41:
 494               	.LBB200:
 495               	.LM43:
 496 029a 0F92      		push __tmp_reg__
 497 029c 0F92      		push __tmp_reg__
 498 029e 20E0      		ldi r18,lo8(.LC5)
 499 02a0 30E0      		ldi r19,hi8(.LC5)
 500 02a2 EDB7      		in r30,__SP_L__
 501 02a4 FEB7      		in r31,__SP_H__
 502 02a6 2183      		std Z+1,r18
 503 02a8 3283      		std Z+2,r19
 504 02aa 0E94 0000 		call printf
 505 02ae 0F90      		pop __tmp_reg__
 506 02b0 0F90      		pop __tmp_reg__
 507 02b2 00C0      		rjmp .L30
 508               	.L40:
 509               	.LM44:
 510 02b4 0F92      		push __tmp_reg__
 511 02b6 0F92      		push __tmp_reg__
 512 02b8 20E0      		ldi r18,lo8(.LC4)
 513 02ba 30E0      		ldi r19,hi8(.LC4)
 514 02bc EDB7      		in r30,__SP_L__
 515 02be FEB7      		in r31,__SP_H__
 516 02c0 2183      		std Z+1,r18
 517 02c2 3283      		std Z+2,r19
 518 02c4 0E94 0000 		call printf
 519 02c8 D801      		movw r26,r16
 520 02ca 8C91      		ld r24,X
 521 02cc 0F90      		pop __tmp_reg__
 522 02ce 0F90      		pop __tmp_reg__
 523 02d0 00C0      		rjmp .L29
 524               	.L39:
 525               	.LM45:
 526 02d2 0F92      		push __tmp_reg__
 527 02d4 0F92      		push __tmp_reg__
 528 02d6 20E0      		ldi r18,lo8(.LC3)
 529 02d8 30E0      		ldi r19,hi8(.LC3)
 530 02da EDB7      		in r30,__SP_L__
 531 02dc FEB7      		in r31,__SP_H__
 532 02de 2183      		std Z+1,r18
 533 02e0 3283      		std Z+2,r19
 534 02e2 0E94 0000 		call printf
 535 02e6 D801      		movw r26,r16
 536 02e8 8C91      		ld r24,X
 537 02ea 0F90      		pop __tmp_reg__
 538 02ec 0F90      		pop __tmp_reg__
 539 02ee 00C0      		rjmp .L28
 540               	.L37:
 541               	.LM46:
 542 02f0 0F92      		push __tmp_reg__
 543 02f2 0F92      		push __tmp_reg__
 544 02f4 20E0      		ldi r18,lo8(.LC1)
 545 02f6 30E0      		ldi r19,hi8(.LC1)
 546 02f8 EDB7      		in r30,__SP_L__
 547 02fa FEB7      		in r31,__SP_H__
 548 02fc 2183      		std Z+1,r18
 549 02fe 3283      		std Z+2,r19
 550 0300 0E94 0000 		call printf
 551 0304 D801      		movw r26,r16
 552 0306 8C91      		ld r24,X
 553 0308 0F90      		pop __tmp_reg__
 554 030a 0F90      		pop __tmp_reg__
 555               	.LM47:
 556 030c 81FF      		sbrs r24,1
 557 030e 00C0      		rjmp .L27
 558               	.L38:
 559               	.LM48:
 560 0310 0F92      		push __tmp_reg__
 561 0312 0F92      		push __tmp_reg__
 562 0314 20E0      		ldi r18,lo8(.LC2)
 563 0316 30E0      		ldi r19,hi8(.LC2)
 564 0318 EDB7      		in r30,__SP_L__
 565 031a FEB7      		in r31,__SP_H__
 566 031c 2183      		std Z+1,r18
 567 031e 3283      		std Z+2,r19
 568 0320 0E94 0000 		call printf
 569 0324 D801      		movw r26,r16
 570 0326 8C91      		ld r24,X
 571 0328 0F90      		pop __tmp_reg__
 572 032a 0F90      		pop __tmp_reg__
 573 032c 00C0      		rjmp .L27
 574               	.LBE200:
 575               	.LFE48:
 577               		.data
 578               	.LC9:
 579 0070 2573 2800 		.string	"%s("
 580               	.LC10:
 581 0074 2C20 00   		.string	", "
 582               	.LC11:
 583 0077 256C 6400 		.string	"%ld"
 584               	.LC12:
 585 007b 2566 00   		.string	"%f"
 586               	.LC13:
 587 007e 2570 00   		.string	"%p"
 588               	.LC14:
 589 0081 6C69 7374 		.string	"list_int[%d][%p]"
 589      5F69 6E74 
 589      5B25 645D 
 589      5B25 705D 
 589      00
 590               	.LC15:
 591 0092 6C69 7374 		.string	"list_float[%d][%p]"
 591      5F66 6C6F 
 591      6174 5B25 
 591      645D 5B25 
 591      705D 00
 592               	.LC16:
 593 00a5 6C69 7374 		.string	"list_addr[%p]"
 593      5F61 6464 
 593      725B 2570 
 593      5D00 
 594               	.LC17:
 595 00b3 7365 745F 		.string	"set_int[%d][%p]"
 595      696E 745B 
 595      2564 5D5B 
 595      2570 5D00 
 596               	.LC18:
 597 00c3 7365 745F 		.string	"set_float[%d][%p]"
 597      666C 6F61 
 597      745B 2564 
 597      5D5B 2570 
 597      5D00 
 598               	.LC19:
 599 00d5 2F68 6F6D 		.string	"/home/rbigeard/BB/build/src-bobby/meldinterp-runtime/core.c"
 599      652F 7262 
 599      6967 6561 
 599      7264 2F42 
 599      422F 6275 
 600               	.LC20:
 601 0111 3000      		.string	"0"
 602               		.text
 603               	.global	tuple_print
 605               	tuple_print:
 606               	.LFB46:
 607               	.LM49:
 608 032e 2F92      		push r2
 609 0330 3F92      		push r3
 610 0332 4F92      		push r4
 611 0334 5F92      		push r5
 612 0336 6F92      		push r6
 613 0338 7F92      		push r7
 614 033a 8F92      		push r8
 615 033c 9F92      		push r9
 616 033e AF92      		push r10
 617 0340 BF92      		push r11
 618 0342 CF92      		push r12
 619 0344 DF92      		push r13
 620 0346 EF92      		push r14
 621 0348 FF92      		push r15
 622 034a 0F93      		push r16
 623 034c 1F93      		push r17
 624 034e CF93      		push r28
 625 0350 DF93      		push r29
 626               	/* prologue: function */
 627               	/* frame size = 0 */
 628 0352 5C01      		movw r10,r24
 629 0354 6B01      		movw r12,r22
 630               	.LM50:
 631 0356 DC01      		movw r26,r24
 632 0358 EC91      		ld r30,X
 633 035a CE2F      		mov r28,r30
 634 035c D0E0      		ldi r29,lo8(0)
 635 035e 00D0      		rcall .
 636 0360 00D0      		rcall .
 637 0362 ADB7      		in r26,__SP_L__
 638 0364 BEB7      		in r27,__SP_H__
 639 0366 1196      		adiw r26,1
 640 0368 EDB7      		in r30,__SP_L__
 641 036a FEB7      		in r31,__SP_H__
 642 036c 6183      		std Z+1,r22
 643 036e 7283      		std Z+2,r23
 644 0370 80E0      		ldi r24,lo8(.LC9)
 645 0372 90E0      		ldi r25,hi8(.LC9)
 646 0374 1296      		adiw r26,2
 647 0376 8D93      		st X+,r24
 648 0378 9C93      		st X,r25
 649 037a 1397      		sbiw r26,2+1
 650 037c FE01      		movw r30,r28
 651 037e EE0F      		lsl r30
 652 0380 FF1F      		rol r31
 653 0382 E050      		subi r30,lo8(-(tuple_names))
 654 0384 F040      		sbci r31,hi8(-(tuple_names))
 655 0386 8081      		ld r24,Z
 656 0388 9181      		ldd r25,Z+1
 657 038a 1496      		adiw r26,4
 658 038c 8D93      		st X+,r24
 659 038e 9C93      		st X,r25
 660 0390 1597      		sbiw r26,4+1
 661 0392 0E94 0000 		call fprintf
 662               	.LM51:
 663 0396 C050      		subi r28,lo8(-(meld_prog))
 664 0398 D040      		sbci r29,hi8(-(meld_prog))
 665 039a 8981      		ldd r24,Y+1
 666 039c E82F      		mov r30,r24
 667 039e F0E0      		ldi r31,lo8(0)
 668 03a0 10E0      		ldi r17,lo8(meld_prog+5)
 669 03a2 812E      		mov r8,r17
 670 03a4 10E0      		ldi r17,hi8(meld_prog+5)
 671 03a6 912E      		mov r9,r17
 672 03a8 8E0E      		add r8,r30
 673 03aa 9F1E      		adc r9,r31
 674 03ac 8DB7      		in r24,__SP_L__
 675 03ae 9EB7      		in r25,__SP_H__
 676 03b0 0696      		adiw r24,6
 677 03b2 8DBF      		out __SP_L__,r24
 678 03b4 9EBF      		out __SP_H__,r25
 679 03b6 D401      		movw r26,r8
 680 03b8 8C91      		ld r24,X
 681 03ba 8823      		tst r24
 682 03bc 01F4      		brne .+2
 683 03be 00C0      		rjmp .L43
 684 03c0 B0E0      		ldi r27,lo8(meld_prog+7)
 685 03c2 EB2E      		mov r14,r27
 686 03c4 B0E0      		ldi r27,hi8(meld_prog+7)
 687 03c6 FB2E      		mov r15,r27
 688 03c8 EE0E      		add r14,r30
 689 03ca FF1E      		adc r15,r31
 690 03cc 00E0      		ldi r16,lo8(0)
 691 03ce 10E0      		ldi r17,hi8(0)
 692               	.LBB201:
 693               	.LM52:
 694 03d0 A0E0      		ldi r26,lo8(.LC11)
 695 03d2 6A2E      		mov r6,r26
 696 03d4 A0E0      		ldi r26,hi8(.LC11)
 697 03d6 7A2E      		mov r7,r26
 698               	.LM53:
 699 03d8 F0E0      		ldi r31,lo8(.LC13)
 700 03da 4F2E      		mov r4,r31
 701 03dc F0E0      		ldi r31,hi8(.LC13)
 702 03de 5F2E      		mov r5,r31
 703               	.LM54:
 704 03e0 E0E0      		ldi r30,lo8(.LC14)
 705 03e2 2E2E      		mov r2,r30
 706 03e4 E0E0      		ldi r30,hi8(.LC14)
 707 03e6 3E2E      		mov r3,r30
 708 03e8 00C0      		rjmp .L57
 709               	.L62:
 710               	.LM55:
 711 03ea 8130      		cpi r24,lo8(1)
 712 03ec 01F4      		brne .+2
 713 03ee 00C0      		rjmp .L47
 714 03f0 8130      		cpi r24,lo8(1)
 715 03f2 00F0      		brlo .+2
 716 03f4 00C0      		rjmp .L61
 717               	.LM56:
 718 03f6 8DB7      		in r24,__SP_L__
 719 03f8 9EB7      		in r25,__SP_H__
 720 03fa 0897      		sbiw r24,8
 721 03fc 8DBF      		out __SP_L__,r24
 722 03fe 9EBF      		out __SP_H__,r25
 723 0400 EDB7      		in r30,__SP_L__
 724 0402 FEB7      		in r31,__SP_H__
 725 0404 3196      		adiw r30,1
 726 0406 ADB7      		in r26,__SP_L__
 727 0408 BEB7      		in r27,__SP_H__
 728 040a 1196      		adiw r26,1
 729 040c CD92      		st X+,r12
 730 040e DC92      		st X,r13
 731 0410 1297      		sbiw r26,1+1
 732 0412 6282      		std Z+2,r6
 733 0414 7382      		std Z+3,r7
 734 0416 8881      		ld r24,Y
 735 0418 9981      		ldd r25,Y+1
 736 041a AA81      		ldd r26,Y+2
 737 041c BB81      		ldd r27,Y+3
 738 041e 8483      		std Z+4,r24
 739 0420 9583      		std Z+5,r25
 740 0422 A683      		std Z+6,r26
 741 0424 B783      		std Z+7,r27
 742 0426 0E94 0000 		call fprintf
 743 042a CDB7      		in r28,__SP_L__
 744 042c DEB7      		in r29,__SP_H__
 745 042e 2896      		adiw r28,8
 746 0430 CDBF      		out __SP_L__,r28
 747 0432 DEBF      		out __SP_H__,r29
 748               	.L56:
 749               	.LBE201:
 750               	.LM57:
 751 0434 0F5F      		subi r16,lo8(-(1))
 752 0436 1F4F      		sbci r17,hi8(-(1))
 753 0438 0894      		sec
 754 043a E11C      		adc r14,__zero_reg__
 755 043c F11C      		adc r15,__zero_reg__
 756 043e E401      		movw r28,r8
 757 0440 8881      		ld r24,Y
 758 0442 90E0      		ldi r25,lo8(0)
 759 0444 0817      		cp r16,r24
 760 0446 1907      		cpc r17,r25
 761 0448 04F0      		brlt .+2
 762 044a 00C0      		rjmp .L43
 763               	.L57:
 764               	.LBB202:
 765               	.LM58:
 766 044c A091 0000 		lds r26,arguments
 767 0450 B091 0000 		lds r27,(arguments)+1
 768 0454 E501      		movw r28,r10
 769 0456 E881      		ld r30,Y
 770 0458 F0E0      		ldi r31,lo8(0)
 771 045a EE0F      		lsl r30
 772 045c FF1F      		rol r31
 773 045e EA0F      		add r30,r26
